Issue Type,Parent,Summary,Description,Status,Priority,Story Points,Labels,Reporter,Component/s
Story,MA-43,[Front] Tela Home - landing + acoes Nova/Carregar Sessao,"Landing inicial. Entregue: HomePage.jsx com cards Nova/Carregar Sessao, animacoes de fundo. Pendente: tela Carregar Sessao real.",Concluído,Highest,3,"frontend,ui-only,sprint-1",israelgmedeiros@gmail.com,Frontend
Story,MA-43,[Front] Tela Importar Alunos - upload CSV drag-drop,"RF001 importacao alunos. Entregue: ImportPage.jsx com drag-drop, validacao .csv. Pendente: parser e renderizacao da lista, persistencia em store.",Concluído,Highest,5,"frontend,ui-only,sprint-1,RF001",israelgmedeiros@gmail.com,Frontend
Story,MA-43,[Front] Tela Importar Material - upload multi-formato,"RF002 upload pdf/pptx/txt/csv/docx. Entregue: ImportMaterialPage.jsx com drag-drop multi-arquivo, icones por tipo. Pendente: envio para API.",Concluído,Highest,5,"frontend,ui-only,sprint-1,RF002",israelgmedeiros@gmail.com,Frontend
Story,MA-43,[Front] Tela Criar Partida - hub menu + toggle Individual/Dupla,"RF003 modo de sala. Entregue: CreateMatchPage.jsx com hub central de 8 acoes, toggle Individual/Dupla. Pendente: persistir modo em store zustand.",Concluído,Highest,5,"frontend,ui-only,sprint-1,RF003",israelgmedeiros@gmail.com,Frontend
Story,MA-43,[Front] Tela Quantidade de Perguntas,"RF004 N perguntas. Entregue: QuestionCountPage.jsx selecao via cards (30/40/50/60/70). Pendente: validacao 1:2 alunos, consolidar com GenerateQuestionsPage.",Concluído,Highest,2,"frontend,ui-only,sprint-1,RF004",israelgmedeiros@gmail.com,Frontend
Story,MA-43,[Front] Tela Loading - geracao IA UI estatica,"RF005 feedback geracao LLM. Entregue: LoadingPage.jsx com spinner e texto progressivo. Pendente: integracao real e tratamento timeout (RNF003 max 30s).",Concluído,Highest,2,"frontend,ui-only,sprint-1,RF005",israelgmedeiros@gmail.com,Frontend
Story,MA-43,[Front] Tela Listar Perguntas,"RF006 visualizar perguntas. Entregue: ListQuestionsPage.jsx lista numerada. Pendente: acoes inline editar/deletar, integracao com API.",Concluído,Highest,3,"frontend,ui-only,sprint-1,RF006",israelgmedeiros@gmail.com,Frontend
Story,MA-43,[Front] Tela Editar Pergunta,"RF006 editar individual. Entregue: EditQuestionPage.jsx com form edit + delete + save. Pendente: validacao com zod e react-hook-form, integracao API.",Concluído,Highest,3,"frontend,ui-only,sprint-1,RF006",israelgmedeiros@gmail.com,Frontend
Story,MA-43,[Front] Tela Escolher Perguntas - selecao + edit inline,"RF006 aprovar/editar. Entregue: ChooseQuestionsPage.jsx toggle por pergunta, edicao inline. Pendente: drag-drop reorder, persistencia em store.",Concluído,Highest,5,"frontend,ui-only,sprint-1,RF006",israelgmedeiros@gmail.com,Frontend
Story,MA-43,[Front] Tela Power-Ups - sliders pesos,"RF007 probabilidades sorteio. Entregue: PowerUpsPage.jsx com 5 power-ups e sliders, total exibido. Pendente: validacao soma e indicador visual.",Concluído,High,5,"frontend,ui-only,sprint-1,RF007",israelgmedeiros@gmail.com,Frontend
Story,MA-43,[Front] Tela Selecionar Power-Ups habilitados,"RF007 escolher cartas ativas. Entregue: SelectPowerUpsPage.jsx toggle por carta, descricao. Pendente: persistir selecao em store.",Concluído,High,3,"frontend,ui-only,sprint-1,RF007",israelgmedeiros@gmail.com,Frontend
Story,MA-43,[Front] Tela Inventario Inicial - toggle + qtd + max,"RF008+RF009+RF010. Entregue: InventoryPage.jsx toggle iniciar com cartas, qtd inicial, limite Y, input tempo. Pendente: separar tela RF010 dedicada, validacao zod.",Concluído,High,5,"frontend,ui-only,sprint-1,RF008,RF009,RF010",israelgmedeiros@gmail.com,Frontend
Story,MA-44,[Front] Tela Pergunta + botao Play TTS,"RF014 apresentar pergunta. Entregue: RoundQuestionPage.jsx card da pergunta e botao Play. Pendente: integracao TTS, Timer, botoes Acertou/Errou (RF017).",Concluído,Highest,3,"frontend,ui-only,sprint-1,RF014",israelgmedeiros@gmail.com,Frontend
Story,MA-44,[Front] Tela Rodada Finalizada - 4 botoes acao,"RF022 finalizacao. Entregue: RoundFinishedPage.jsx historico da rodada e 4 botoes. Pendente: conectar acoes ao router, persistir historico.",Concluído,Highest,3,"frontend,ui-only,sprint-1,RF022",israelgmedeiros@gmail.com,Frontend
Story,MA-45,[Front] Tela Explicacao Power-Ups,"Onboarding/regras. Entregue: PowerUpsExplainPage.jsx cards explicativos por power-up. Pendente: usar como modal/tooltip durante o jogo.",Concluído,Medium,2,"frontend,ui-only,sprint-1",israelgmedeiros@gmail.com,Frontend
Story,MA-46,[Front] Tela Resultado da Rodada - podio + ranking,"RF029 parcial. Entregue: RoundResultPage.jsx podio top 3 com cores, ranking dos demais, animacao numeros. Pendente: variante Ranking Final, integracao pontuacao real.",Concluído,High,5,"frontend,ui-only,sprint-1,RF029",israelgmedeiros@gmail.com,Frontend
Story,MA-47,[Front] Tela Placar Modo Dupla - equipes + acoes,"RF003 variante. Entregue: DuoModePage.jsx lista equipes com pontos, historico de acoes. Pendente: adaptar fluxo da rodada para duplas (sorteio em par).",Concluído,Medium,5,"frontend,ui-only,sprint-1,RF003",israelgmedeiros@gmail.com,Frontend
