Issue Type,Parent,Summary,Description,Status,Story Points,Labels,Reporter
Story,MA-48,[Front] Tema Balatro - Foundation (tokens + componentes),"Fundacao do tema visual Balatro. Entregue: design tokens em src/index.css (paleta Balatro: blue/red/gold/green/purple, fontes pixel Press Start 2P + M PLUS 1 Code, sombras de carta, glows). Utilities CSS: crt-scanlines, crt-vignette, text-glow-*, foil-shimmer, holo-gradient, shake-sm/md/lg, bg-felt. Componentes em src/components/balatro/: CRTFrame, BalatroBackground (swirl vermelho animado SVG goo + blobs + grid + noise), BalatroCard (hover lift + foil + holo), BalatroButton (border-b-4 depth + spring), ScoreCounter (rolling digits easeOutCubic). Pendente: aplicar em todas as paginas.",Concluído,8,"frontend,balatro,theme,foundation",israelgmedeiros@gmail.com
Story,MA-43,[Front] Tema Balatro - HomePage,"Reestilizacao da HomePage seguindo estetica Balatro. Entregue: layout 2 colunas (titulo/menu esquerda + JokerStack direita, mobile stack), logo REVI[Spade]SAO com naipe centralizado animado e drop-shadow vermelho duplo, 4 botoes empilhados (Nova Sessao primario vermelho / Carregar / Opcoes / Sair) com hover slide-right e spring tap, JokerStack 3 cartas decorativas com rotacoes alternadas e depth shadow, naipes flutuantes 5 elementos subindo com drop-shadow colorido, BalatroBackground com swirl vermelho dominante sobre base azul-escuro. Mantem scanlines + vignette + noise CRT.",Concluído,5,"frontend,balatro,theme,sprint-2",israelgmedeiros@gmail.com
Story,MA-43,[Front] Tema Balatro - CreateMatchPage,"Reestilizacao da CreateMatchPage (Run Setup) seguindo estetica Balatro. Entregue: CRTFrame + BalatroBackground, nav superior com dots Mac-style e botoes Home/User pixel, titulo RUN SETUP / CRIAR PARTIDA com glow vermelho, card central com border-2 e depth shadow 16px (pilha de cartas), toggle Individual/Dupla estilo tab com border-b vermelho no ativo, 8 menu rows com icone bordado colorido + label pixel + naipe colorido por feature (escala 1.25 hover) + chevron slide-right, stagger animation entrada 40ms, cores rotativas blue/red/gold/green/purple, botao Iniciar Partida vermelho border-b-4 com Spades nos extremos. Pendente: integracao com store zustand para modo Individual/Dupla.",Concluído,5,"frontend,balatro,theme,sprint-2",israelgmedeiros@gmail.com
Story,MA-44,[Front] Tema Balatro - RoundQuestionPage,"Reestilizacao da RoundQuestionPage (Boss Blind) seguindo estetica Balatro. Entregue: layout 3 colunas (Inquisitor esquerda roxo / Boss centro / Vitima direita vermelho), RoleCard com border-4 + naipes top/bottom rotacionados estilo carta de baralho + avatar circular bordado, titulo BOSS BLIND com Skulls e glow vermelho, meta de pontos em gold (>= 1500) com glow, card de pergunta border-4 vermelho + depth shadow 18px + outer/inner red glow, float animation 4s (boss respirando), cantos com Q-Spade letras estilo carta real, marca dagua Spade gigante 4 percent opacity, 4 naipes coloridos no rodape, foil shimmer ativa quando leitura inicia, botao CTA muda vermelho para verde com pulse dot. Pendente: componente Timer (RF015), botoes Acertou/Errou (RF017), HUD pontuacao live (RF018).",Concluído,8,"frontend,balatro,theme,sprint-2,RF014",israelgmedeiros@gmail.com
Story,MA-48,[Front] Migracao para react-router-dom v7,"Migrou roteamento manual via useState em App.jsx para react-router-dom v7 com createBrowserRouter. Entregue: src/app/queryClient.js (QueryClient configurado com staleTime/gcTime/retry/refetchOnWindowFocus), src/app/router.jsx (lista ROUTES com 18 rotas + label + element, createBrowserRouter, Layout root com Outlet), src/app/Layout.jsx (wrapper com Outlet + DevNav em DEV), src/app/providers.jsx (QueryClientProvider + RouterProvider), App.jsx simplificado para apenas <AppProviders />. Refatoradas 14 paginas para usar useNavigate em vez de receberem callbacks onHome/onBack/onSave/onDelete/onDone/onNextRound/etc. Eslint config atualizada com argsIgnorePattern e destructuredArrayIgnorePattern. Pendente: implementar tela Carregar Sessao (RF011), guard de rotas autenticadas (RNF005).",Concluído,8,"frontend,infra,routing,sprint-2",israelgmedeiros@gmail.com
Story,MA-48,[Front] DevNav - atalhos de QA em desenvolvimento,"Componente flutuante de navegacao para desenvolvimento. Entregue: src/components/dev/DevNav.jsx com botao circular vermelho fixed bottom-right (estilo Balatro com border-b-4 e glow), modal expansivel listando todas as 18 rotas com Link react-router-dom + label + path, destaque visual da rota ativa, animacoes spring de abertura, so renderiza em DEV (import.meta.env.DEV via Layout). Permite testar qualquer pagina sem navegar pelo fluxo.",Concluído,3,"frontend,infra,dev-tools,sprint-2",israelgmedeiros@gmail.com
Story,MA-48,[Front] Configurar QueryClientProvider + axios instance base,"Setup de infraestrutura TanStack Query no projeto. Entregue: src/app/queryClient.js com QueryClient configurado (staleTime 60s, gcTime 5min, retry 1, refetchOnWindowFocus false, mutations sem retry), montado no AppProviders. Pendente: criar src/lib/api.js com instancia axios + baseURL + interceptors de auth/error.",Concluído,2,"frontend,infra,sprint-2",israelgmedeiros@gmail.com
Story,MA-46,[Front] Tema Balatro - RoundResultPage,"Reestilizacao da RoundResultPage (Round Win) seguindo estetica Balatro. Entregue: titulo CASHED OUT / ROUND WIN com glow gold, score breakdown estilo Balatro com Chips x Mult = Score (rolling numbers easeOutCubic, blue para chips com glow, red para mult com glow, gold para score), podio top 3 com Crown animado no 1st, cards com border-4 colorido + naipes top/bottom rotacionados + avatar circular bordado + score com text-shadow, blocos do podio com altura variada (44/32/24) e gradients gold/silver/bronze, leaderboard 5 colunas (rank/avatar/jogador/rodada/total) com bordas pixel + RollingNumber em totals + trend icons coloridos, naipes flutuantes decorativos sobem do bottom, botoes Repetir (ghost) + Proxima Rodada (gold border-b-4), stagger animations entrada cascata.",Concluído,8,"frontend,balatro,theme,sprint-2,RF029",israelgmedeiros@gmail.com
Story,MA-44,[Front] Tema Balatro - RoundFinishedPage,"Reestilizacao da RoundFinishedPage (Round End) seguindo estetica Balatro. Entregue: titulo ROUND FINISHED / RODADA #NN com glow purple e Trophy nos lados, card historico com border-4 purple + depth shadow + header pixel font + Sparkles, eventos com icone bordado colorido (correct=green/wrong=red/powerup=gold/inquisitor=purple/bonus=blue), cada evento com badge tipo + nome do ator com glow + descricao em text-dim, stagger animation 80ms, scroll vertical max-height 280px, grid 2x2 de botoes finais (Ativar Power-Up purple / Editar Rodada blue / Finalizar Revisao green / Proxima Rodada red) com border-b-4 + spring hover. Acoes conectadas ao router (edit-question, round-result, round-question).",Concluído,5,"frontend,balatro,theme,sprint-2,RF022",israelgmedeiros@gmail.com
Story,MA-43,[Front] Tema Balatro - ChooseQuestionsPage,"Reestilizacao da ChooseQuestionsPage (Hand Selection) seguindo estetica Balatro. Entregue: titulo HAND SELECTION / ESCOLHER PERGUNTAS com glow purple, toolbar com contador X/N selecionadas em gold + botoes Todas/Nenhuma estilo pixel, grid 4 colunas (responsive 1/2/4) de cartas reais com naipes (spade/heart/diamond/club) + rank (A/K/Q/J/10/9/8/7) + body com texto da pergunta + footer com botao EDITAR, modo edicao com textarea + botoes SALVAR/CANCEL, hover lift -8px com rotacao alternada, border gold + depth shadow gold quando selecionada, check badge gold no canto, botao Confirmar Selecao purple desabilita quando 0 selecionadas, stagger entrada cascata 50ms. Pendente: drag-drop reorder, persistencia em store.",Concluído,8,"frontend,balatro,theme,sprint-2,RF006",israelgmedeiros@gmail.com
